Table 1
Site,Latitude,Longitude,Labcode,Material,14C age ± 1σ,δ13C,Calibrated age range,RSL (m),Error (± m),Reference,Evidence,14C age ± 1σ,,
Eastern Maine,,,,,,,,,,,,,,
Index Points,,,,,,,,,,,,,,
Sanborn Cove,44.683,67.406,AA-8210,HHM Plant,4795 ± 80,-28,5661-5319,-4.90,0.55,Gehrels (1999),1,4795,80,-67.406
Sanborn Cove,44.683,67.406,AA-8211,S. alt,4075 ± 75,,4822-4422,-3.97,0.54,Gehrels (1999),1,4075,75,-67.406
Sanborn Cove,44.683,67.406,AA-8941,S. alt,3010 ± 70,-15.7,3370-2996,-2.88,0.54,Gehrels (1999),1,3010,70,-67.406
Sanborn Cove,44.683,67.406,AA-8942,Plant frag,2540 ± 110,-28.7,2845-2349,-1.68,0.54,Gehrels (1999),1,2540,110,-67.406
Sanborn Cove,44.683,67.406,AA-27620,Twig,1070 ± 90,-30,1230-786,-0.49,0.55,Gehrels (1999),1,1070,90,-67.406
Sanborn Cove,44.683,67.406,AA-27621,Twig,195 ± 45,-28.4,308-0,-0.53,0.55,Gehrels (1999),1,195,45,-67.406
Sanborn Cove,44.683,67.406,AA-27622,Plant frag,1210 ± 80,-26.5,1284-972,-0.74,0.55,Gehrels (1999),1,1210,80,-67.406
Sanborn Cove,44.683,67.406,AA-27623,Plant frag,1540 ± 60,,1541-1313,-0.99,0.55,Gehrels (1999),1,1540,60,-67.406
Sanborn Cove,44.683,67.406,AA-27624,Plant frag,2170 ± 50,-28.4,2328-2010,-1.74,0.55,Gehrels (1999),1,2170,50,-67.406
Sanborn Cove,44.683,67.406,AA-27625,Plant frag,2120 ± 60,,2308-1950,-1.87,0.55,Gehrels (1999),1,2120,60,-67.406
Gouldsboro,44.429,68.011,BETA-63981,HM peat,4030 ± 70,-29.8,4818-4296,-4.99,0.45,Gehrels et al. (1996),1,4030,70,-68.011
Gouldsboro,44.429,68.011,BETA-64579,HM peat,2730 ± 80,-26.3,3063-2729,-1.78,0.45,Gehrels et al. (1996),1,2730,80,-68.011
Gouldsboro,44.429,68.011,SI-6541,HHM peat,3580 ± 75,-24.6,4088-3650,-4.05,0.45,Gehrels et al. (1996),3,3580,75,-68.011
Jasper Beach,44.629,67.382,BETA-52183,HM peat,3150 ± 70,-24,3557-3209,-2.87,0.45,Gehrels and Belknap (1993),1,3150,70,-67.382
Jasper Beach,44.629,67.382,BETA-52184,HM peat,2880 ± 80,-26,3253-2795,-2.49,0.45,Gehrels and Belknap (1993),1,2880,80,-67.382
Sanborn Cove,44.683,67.406,BETA-52185,HM peat,3860 ± 60,-27,4425-4091,-4.50,0.45,Gehrels and Belknap (1993),1,3860,60,-67.406
Sanborn Cove,44.683,67.406,BETA-52187,HM peat,2800 ± 70,-26,3137-2759,-2.42,0.45,Gehrels and Belknap (1993),1,2800,70,-67.406
Gouldsboro,44.429,68.011,BETA-61775,HHM peat,2380 ± 70,-16.2,2716-2208,-1.38,0.45,Gehrels et al. (1996),1,2380,70,-68.011
Gouldsboro,44.429,68.011,BETA-63980,HHM peat,1230 ± 70,-26.3,1288-984,-0.67,0.45,Gehrels et al. (1996),1,1230,70,-68.011
Addison,44.608,67.753,SI-6201,HM peat,2960 ± 75,-21.1,3345-2927,-3.04,1.10,Belknap et al. (1989),3,2960,75,-67.753
Addison,44.608,67.753,SI-6200,HM peat,3415 ± 110,-23.4,3963-3405,-3.49,1.10,Belknap et al. (1989),3,3415,110,-67.753
Addison,44.608,67.753,SI-6207,HHM peat,2595 ± 80,-18.5,2860-2366,-1.80,1.10,Belknap et al. (1989),3,2595,80,-67.753
Addison,44.608,67.753,SI-6206,HHM peat,2730 ± 75,-17.9,3059-2733,-2.40,1.10,Belknap et al. (1989),3,2730,75,-67.753
Addison,44.608,67.753,SI-6205,HM peat,2815 ± 50,-18.8,3066-2792,-3.00,1.10,Belknap et al. (1989),3,2815,50,-67.753
Addison,44.608,67.753,SI-6210,HM peat,365 ± 70,-22.8,521-295,-0.67,1.10,Belknap et al. (1989),3,365,70,-67.753
Addison,44.608,67.753,SI-6209,HM peat,1525 ± 75,-28.2,1558-1296,-1.22,1.10,Belknap et al. (1989),3,1525,75,-67.753
Addison,44.608,67.753,SI-6534,HM peat,1245 ± 70,-27.1,1296-990,-1.53,1.10,Belknap et al. (1989),3,1245,70,-67.753
Addison,44.608,67.753,SI-6530,HM peat,2150 ± 50,,2311-2001,-1.70,1.10,Belknap et al. (1989),3,2150,50,-67.753
Addison,44.608,67.753,SI-6531,HM peat,2780 ± 65,-22.4,3062-2758,-1.97,1.10,Belknap et al. (1989),3,2780,65,-67.753
Gouldsboro,44.430,68.010,SI-6539,HM peat,2740 ± 55,,2954-2754,-2.34,0.94,Belknap et al. (1989),3,2740,55,-68.010
Gouldsboro,44.430,68.010,SI-6543,HM peat,1775 ± 50,-23.1,1821-1565,-0.80,0.94,Belknap et al. (1989),3,1775,50,-68.010
Gouldsboro,44.430,68.010,SI-6544,HM peat,2550 ± 50,-27.6,2759-2467,-1.55,0.94,Belknap et al. (1989),3,2550,50,-68.010
Gouldsboro,44.430,68.010,SI-6545,HM peat,3045 ± 65,-18.2,3396-3040,-3.11,0.94,Belknap et al. (1989),3,3045,65,-68.010
Sanborn Cove,44.683,67.406,BETA-57808,S. alt,490 ± 70,-19.4,654-324,-1.18,0.54,Gehrels (1999),1,490,70,-67.406
Sanborn Cove,44.683,67.406,BETA-57809,S. alt + S. rob,1070 ± 90,-16.8,1230-786,-1.72,0.54,Gehrels (1999),1,1070,90,-67.406
Gouldsboro,44.429,68.011,SI-6536,HHM peat,570 ± 50,-25.1,653-519,-0.61,0.45,Gehrels et al. (1996),3,570,50,-68.011
Gouldsboro,44.429,68.011,SI-6537,HHM peat,2010 ± 60,-25.7,2123-1827,-1.25,0.45,Gehrels et al. (1996),3,2010,60,-68.011
Gouldsboro,44.429,68.011,SI-6538,HM peat,2325 ± 65,16.8,2696-2150,-1.43,0.45,Gehrels et al. (1996),3,2325,65,-68.011
Jasper Beach,44.629,67.382,BETA-52182,HM peat,3170 ± 140,-27,3716-2978,-4.30,0.45,Gehrels and Belknap (1993),1,3170,140,-67.382
Sanborn Cove,44.683,67.406,BETA-52186,HM peat,3090 ± 60,-23,3446-3084,-3.32,0.45,Gehrels and Belknap (1993),1,3090,60,-67.406
Jasper Beach,44.629,67.382,PITT-0964,HM peat,4165 ± 30,,4829-4583,-4.44,0.45,Gehrels and Belknap (1993),1,4165,30,-67.382
Addison,44.608,67.753,SI-6199,HM peat,4095 ± 100,-23,4853-4299,-3.94,1.10,Belknap et al. (1989),3,4095,100,-67.753
Addison,44.608,67.753,SI-6204,HM peat,3170 ± 60,-26.6,3557-3255,-3.26,1.10,Belknap et al. (1989),3,3170,60,-67.753
Addison,44.608,67.753,SI-6208,HM peat,1840 ± 110,-26.9,2041-1521,-1.62,1.10,Belknap et al. (1989),3,1840,110,-67.753
Gouldsboro,44.430,68.010,SI-6542,HM peat,3940 ± 50,-16.6,4523-4239,-4.83,0.94,Belknap et al. (1989),3,3940,50,-68.010
,,,,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,,,,
Gouldsboro,44.430,68.020,BETA-64580,Fresh peat,9730 ± 60,-29.4,11251-10801,-3.53,0.17,Gehrels et al. (1996),3,9730,60,-68.020
Gouldsboro,44.430,68.020,BETA-64581,Fresh peat,9490 ± 80,-27.6,11121-10561,-2.05,0.17,Gehrels et al. (1996),3,9490,80,-68.020
Gouldsboro,44.430,68.010,SI-5417,Marsh peat,1490 ± 45,,1515-1301,0.50,0.85,Belknap et al. (1989),3,1490,45,-68.010
Gouldsboro,44.430,68.010,SI-5425,Wood,1465 ± 50,,1512-1290,1.29,0.85,Belknap et al. (1989),2,1465,50,-68.010
,,,,,,,,,,,,,,
Southern Maine,,,,,,,,,,,,,,
Index Points,,,,,,,,,,,,,,
