Site,Latitude,Longitude,Material,δ13C,Calibrated age range,RSL (m),Error (± m),Reference,Evidence,14C age,14C st dev
Eastern Maine,,,,,,,,,,,
Index Points,,,,,,,,,,,
Sanborn Cove,44.683,67.406,HHM Plant,-28,5661-5319,-4.90,0.55,Gehrels (1999),1,4795,80
Sanborn Cove,44.683,67.406,S. alt,,4822-4422,-3.97,0.54,Gehrels (1999),1,4075,75
Sanborn Cove,44.683,67.406,S. alt,-15.7,3370-2996,-2.88,0.54,Gehrels (1999),1,3010,70
Sanborn Cove,44.683,67.406,Plant frag,-28.7,2845-2349,-1.68,0.54,Gehrels (1999),1,2540,110
Sanborn Cove,44.683,67.406,Twig,-30,1230-786,-0.49,0.55,Gehrels (1999),1,1070,90
Sanborn Cove,44.683,67.406,Twig,-28.4,308-0,-0.53,0.55,Gehrels (1999),1,195,45
Sanborn Cove,44.683,67.406,Plant frag,-26.5,1284-972,-0.74,0.55,Gehrels (1999),1,1210,80
Sanborn Cove,44.683,67.406,Plant frag,,1541-1313,-0.99,0.55,Gehrels (1999),1,1540,60
Sanborn Cove,44.683,67.406,Plant frag,-28.4,2328-2010,-1.74,0.55,Gehrels (1999),1,2170,50
Sanborn Cove,44.683,67.406,Plant frag,,2308-1950,-1.87,0.55,Gehrels (1999),1,2120,60
Gouldsboro,44.429,68.011,HM peat,-29.8,4818-4296,-4.99,0.45,Gehrels et al. (1996),1,4030,70
Gouldsboro,44.429,68.011,HM peat,-26.3,3063-2729,-1.78,0.45,Gehrels et al. (1996),1,2730,80
Gouldsboro,44.429,68.011,HHM peat,-24.6,4088-3650,-4.05,0.45,Gehrels et al. (1996),3,3580,75
Jasper Beach,44.629,67.382,HM peat,-24,3557-3209,-2.87,0.45,Gehrels and Belknap (1993),1,3150,70
Jasper Beach,44.629,67.382,HM peat,-26,3253-2795,-2.49,0.45,Gehrels and Belknap (1993),1,2880,80
Sanborn Cove,44.683,67.406,HM peat,-27,4425-4091,-4.50,0.45,Gehrels and Belknap (1993),1,3860,60
Sanborn Cove,44.683,67.406,HM peat,-26,3137-2759,-2.42,0.45,Gehrels and Belknap (1993),1,2800,70
Gouldsboro,44.429,68.011,HHM peat,-16.2,2716-2208,-1.38,0.45,Gehrels et al. (1996),1,2380,70
Gouldsboro,44.429,68.011,HHM peat,-26.3,1288-984,-0.67,0.45,Gehrels et al. (1996),1,1230,70
Addison,44.608,67.753,HM peat,-21.1,3345-2927,-3.04,1.10,Belknap et al. (1989),3,2960,75
Addison,44.608,67.753,HM peat,-23.4,3963-3405,-3.49,1.10,Belknap et al. (1989),3,3415,110
Addison,44.608,67.753,HHM peat,-18.5,2860-2366,-1.80,1.10,Belknap et al. (1989),3,2595,80
Addison,44.608,67.753,HHM peat,-17.9,3059-2733,-2.40,1.10,Belknap et al. (1989),3,2730,75
Addison,44.608,67.753,HM peat,-18.8,3066-2792,-3.00,1.10,Belknap et al. (1989),3,2815,50
Addison,44.608,67.753,HM peat,-22.8,521-295,-0.67,1.10,Belknap et al. (1989),3,365,70
Addison,44.608,67.753,HM peat,-28.2,1558-1296,-1.22,1.10,Belknap et al. (1989),3,1525,75
Addison,44.608,67.753,HM peat,-27.1,1296-990,-1.53,1.10,Belknap et al. (1989),3,1245,70
Addison,44.608,67.753,HM peat,,2311-2001,-1.70,1.10,Belknap et al. (1989),3,2150,50
Addison,44.608,67.753,HM peat,-22.4,3062-2758,-1.97,1.10,Belknap et al. (1989),3,2780,65
Gouldsboro,44.430,68.010,HM peat,,2954-2754,-2.34,0.94,Belknap et al. (1989),3,2740,55
Gouldsboro,44.430,68.010,HM peat,-23.1,1821-1565,-0.80,0.94,Belknap et al. (1989),3,1775,50
Gouldsboro,44.430,68.010,HM peat,-27.6,2759-2467,-1.55,0.94,Belknap et al. (1989),3,2550,50
Gouldsboro,44.430,68.010,HM peat,-18.2,3396-3040,-3.11,0.94,Belknap et al. (1989),3,3045,65
Sanborn Cove,44.683,67.406,S. alt,-19.4,654-324,-1.18,0.54,Gehrels (1999),1,490,70
Sanborn Cove,44.683,67.406,S. alt + S. rob,-16.8,1230-786,-1.72,0.54,Gehrels (1999),1,1070,90
Gouldsboro,44.429,68.011,HHM peat,-25.1,653-519,-0.61,0.45,Gehrels et al. (1996),3,570,50
Gouldsboro,44.429,68.011,HHM peat,-25.7,2123-1827,-1.25,0.45,Gehrels et al. (1996),3,2010,60
Gouldsboro,44.429,68.011,HM peat,16.8,2696-2150,-1.43,0.45,Gehrels et al. (1996),3,2325,65
Jasper Beach,44.629,67.382,HM peat,-27,3716-2978,-4.30,0.45,Gehrels and Belknap (1993),1,3170,140
Sanborn Cove,44.683,67.406,HM peat,-23,3446-3084,-3.32,0.45,Gehrels and Belknap (1993),1,3090,60
Jasper Beach,44.629,67.382,HM peat,,4829-4583,-4.44,0.45,Gehrels and Belknap (1993),1,4165,30
Addison,44.608,67.753,HM peat,-23,4853-4299,-3.94,1.10,Belknap et al. (1989),3,4095,100
Addison,44.608,67.753,HM peat,-26.6,3557-3255,-3.26,1.10,Belknap et al. (1989),3,3170,60
Addison,44.608,67.753,HM peat,-26.9,2041-1521,-1.62,1.10,Belknap et al. (1989),3,1840,110
Gouldsboro,44.430,68.010,HM peat,-16.6,4523-4239,-4.83,0.94,Belknap et al. (1989),3,3940,50
,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,
Gouldsboro,44.430,68.020,Fresh peat,-29.4,11251-10801,-3.53,0.17,Gehrels et al. (1996),3,9730,60
Gouldsboro,44.430,68.020,Fresh peat,-27.6,11121-10561,-2.05,0.17,Gehrels et al. (1996),3,9490,80
Gouldsboro,44.430,68.010,Marsh peat,,1515-1301,0.50,0.85,Belknap et al. (1989),3,1490,45
Gouldsboro,44.430,68.010,Wood,,1512-1290,1.29,0.85,Belknap et al. (1989),2,1465,50
,,,,,,,,,,,
Southern Maine,,,,,,,,,,,
Index Points,,,,,,,,,,,
Phippsburg,43.752,69.822,LM peat,-19.1,5893-5601,-6.90,0.41,Gehrels et al. (1996),1,4980,60
Phippsburg,43.752,69.822,HM peat,-15.9,5039-4581,-3.09,0.40,Gehrels et al. (1996),1,4270,70
Phippsburg,43.752,69.822,HHM peat,,5441-4857,-4.13,0.40,Gehrels et al. (1996),1,4480,95
Phippsburg,43.752,69.822,HHM peat,,4147-3389,-3.57,0.41,Gehrels et al. (1996),1,3470,150
Phippsburg,43.752,69.822,HHM peat,,3830-3584,-2.33,0.41,Gehrels et al. (1996),1,3435,45
Wells,43.292,70.573,HM peat,,6171-5663,-5.85,0.39,Kelley et al. (1995),3,5135,70
Wells,43.292,70.573,HM peat,,5274-4842,-5.09,0.39,Kelley et al. (1995),3,4380,55
Phippsburg,43.742,69.832,LM peat,-25.7,5896-5494,-6.49,0.41,Gehrels et al. (1996),1,4945,75
Phippsburg,43.752,69.822,HM peat,-15.4,1053-745,-0.62,0.40,Gehrels et al. (1996),1,990,60
Phippsburg,43.742,69.832,HM peat,,3060-2754,-1.71,0.40,Gehrels et al. (1996),1,2770,65
Morse River,43.752,69.822,HM peat,-23,3211-2797,-2.00,0.84,Belknap et al. (1989),3,2865,70
Morse River,43.752,69.822,HM peat,-18.9,286-0,-1.00,0.84,Belknap et al. (1989),3,155,45
Morse River,43.752,69.822,HM peat,-17,2759-2367,-2.91,0.84,Belknap et al. (1989),3,2540,55
Morse River,43.752,69.822,HHM peat,-17.4,653-503,-1.49,0.84,Belknap et al. (1989),3,540,60
Morse River,43.752,69.822,HM peat,-18.6,1310-1074,-1.48,0.84,Belknap et al. (1989),3,1305,60
Morse River,43.752,69.822,HHM peat,-19,1554-1286,-1.85,0.84,Belknap et al. (1989),3,1505,80
Morse River,43.752,69.822,LM peat,-18.7,2305-1949,-1.48,1.08,Belknap et al. (1989),3,2115,50
Penobscot Bay,44.176,68.825,HM peat,-19,2451-1821,-1.51,0.94,Belknap et al. (1989),3,2145,125
