Table 1,,,,,,,,,,,,,,,,
ObjectID,Dbnum,Database,Zone,Region,SubRegion,Sample ID,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,Age_er_max,Age_er_min,Indicator,Indicative meaning
1,1,Greenland,1,Disko Bugt,Innaarsuit,AA39654,68.66,-52.06,79.61,0.36,0.36,9851,298,298,Isolation basin (isolation contact),MHWST to HAT
2,1,Greenland,1,Disko Bugt,Innaarsuit,AA39653,68.66,-52.06,31.96,0.52,0.52,7420,147,147,Isolation basin (isolation contact),MHWST to HAT
3,1,Greenland,1,Disko Bugt,Innaarsuit,AA39652,68.66,-52.06,20.28,0.59,0.59,6196,197,197,Isolation basin (isolation contact),MHWST to HAT
4,1,Greenland,1,Disko Bugt,Innaarsuit,AA39650,68.66,-52.06,1.98,0.48,0.48,3932,213,213,Isolation basin (isolation contact),MHWST to HAT
5,1,Greenland,1,Disko Bugt,Innaarsuit,AA39649,68.66,-52.06,-2.62,0.48,0.48,2461,249,249,Isolation basin (isolation contact),MHWST to HAT
6,1,Greenland,1,Disko Bugt,Innaarsuit,AA39648,68.66,-52.06,-2.62,0.48,0.48,1153,138,138,Isolation basin (ingression contact),MHWST to HAT
7,1,Greenland,1,Disko Bugt,Qeqertarsuatsiaq,AA38842,68.39,-52.99,127.74,0.5,0.5,10640,401,401,Marine limit,above marine limit
8,1,Greenland,1,Disko Bugt,Qeqertarsuatsiaq,AA38844,68.39,-52.99,113.29,0.5,0.5,10382,164,164,Marine limit,above marine limit
9,1,Greenland,1,Disko Bugt,Qeqertarsuatsiaq,AA38841,68.39,-52.99,97.09,0.56,0.56,10454,213,213,Isolation basin (isolation contact),MHWST to HAT
10,1,Greenland,1,Disko Bugt,Qeqertarsuatsiaq,AA38840,68.39,-52.99,50.7,0.73,0.73,9134,137,137,Isolation basin (isolation contact),MHWST to HAT
11,1,Greenland,1,Disko Bugt,Qeqertarsuatsiaq,AA38843,68.39,-52.99,31.18,0.54,0.54,7539,108,108,Isolation basin (isolation contact),MHWST to HAT
12,1,Greenland,1,Disko Bugt,Qeqertarsuatsiaq,AA38839,68.39,-52.99,7.41,0.5,0.5,5055,203,203,Isolation basin (isolation contact),MHWST to HAT
